key,mg
title,Fanavaozana Ny Rakitra Referansa
p1,"Ny rakitra referansa rehetra dia havaozina ao Amin'ny Smartsheet Dynamic View. Ny rakitra referansa dia miasa ho toy ny fidirana ho an'ny lisitry ny fihenam-bidy amin'ny endrika KoboToolbox ary misy angona izay ampiana amin'ny angon-drakitra master amin'ny alàlan'ny fidirana. Ahitana fampahalalana feno momba ny ambaratonga ara-pitantanana ny vondrom-piarahamonina mpanjono (firenena, faritany, distrika, vohitra), toerana fiantsonana, toeram-panjonoana, mpanjono, mpividy, mpanangona angon-drakitra, karazany, faritra fitantanana, karazana fitaovana ary fikambanana mpiara-miasa. Ireo dingana etsy ambany dia mamaritra ny fomba fanavaozana ireo rakitra referansa miaraka amin'ny fampahalalana vaovao."
step1,Dingana 1: Mamorona kaonty smartsheet maimaim-poana.
point1,Azo atao ny mamorona kaonty maimaimpoana ao amin'ny https://www.smartsheet.com/
point2,"Safidio ny""Andramo smartsheet maimaim-poana"""
step2,Dingana 2: Omeo Barefoot Ocean ny adiresy mailaka nampiasanao hamoronana ny kaontinao smartsheet.
point3,Barefoot Ocean dia hizara ireo rakitra fanondroana mifandraika amin'ny fikambananao.
point4,Raha te hijery ireo rakitra fanovozan kevitra dia mila miditra amin'ny Smartsheet Dynamic View ianao amin'ny fampiasana ny mari pahaizana smartsheet anao: https://dynamicview.smartsheet.com/login
point5,Raha vao tafiditra Ao Amin'ny Dynamic View (fa tsy ny fampiharana smartsheet) dia hahita lisitry ny rakitra reference zaraina amin'ny kaontinao ianao (Sary 1).
fig1,Sary 1: Lisitry ny rakitra referansa Ao Amin'ny Dynamic View
step3,Dingana 3: Tsindrio ny rakitra referansa hanaovana fanavaozana
point6,"Rehefa misokatra dia azonao atao ny manindry ny laharana tsirairay mba hanovana ny angon-drakitra efa misy, na tsindrio ny bokotra ""Vaovao"" eo amin'ny zoro ambony havanana mba hanampiana angona vaovao (Sary 2)."
point7,"Ny tontonana antsipiriany dia hiseho eo amin'ny ilany havanana izay hampidiranao ny fampahalalana ilaina (Sary 3; Tabilao 1). Safidio ny"" save "" eo amin'ny farany ambany ankavanan'ny tontonana details rehefa vita ny fanavaozana. Tsy mila mampandre Ny Barefoot Ocean ianao rehefa manao fanovana na fanampiny amin'ny takelaka ref. Ny dia ho natambatra ho azy amin'ny master reference files ary tafiditra ao Amin'ny kobo."
point8,"Raha hamela fanehoan-kevitra na hametraka fanontaniana amin'ny ekipan'ny Barefoot, safidio ny tabilao ""Comments"" ao amin'ny tontonana details. Ireo olona rehetra izay zaraina amin'ny rakitra fanondroana, anisan'izany ny Ekipan'ny Barefoot Ocean, dia hahazo fampandrenesana rehefa misy fanehoan-kevitra, ka tsy ilaina ny manisy marika olona manokana."
fig2,Sary 2: fomba Fijery Ohatra momba ny admin2_ref Amin'ny Fomba Fijery Mavitrika
fig3,Sary 3: ohatra ny fijerena ny tontonana admin2_ref details amin'ny Dynamic View
step4,"Dingana 4: Valio ny fangatahana fanavaozana rehefa tsy hita na diso ny angona, na hamaly ny fanehoan-kevitra."
point9,"Raha misy fampahalalana tsy feno na diso izay tena ilaina amin'ny fametrahana Ny Kobo dropdowns na ho an'ny joins, na raha misy fanehoan-kevitra atao ao amin'ny takelaka, dia halefa any amin'ny mpampiasa mety rehetra ny fangatahana fanavaozana, ka manosika azy ireo hanavao ny vaovao na hamaly ny fanehoan-kevitra (Sary 4). Amin'ny alàlan'ny default, ny olona rehetra manana fidirana amin'ny rakitra referansa dia hahazo ny fangatahana fanavaozana."
point10,"Ny fijerena mialoha ny angon-drakitra mila havaozina na valiana dia hiseho eo ambanin'ny hafatra mailaka, saingy tsy ho afaka hanavao ny angona mivantana amin'ny mailaka ianao"
